2_19_8,103_3_8
2_19_9,105_12_15
2_19_10,107_1_6
2_19_11,103_13_12
2_19_12,101_14_18
2_19_13,101_14_18
2_19_14,108_9_12
2_19_15,104_12_7
2_19_16,109_12_14
2_19_17,109_18_4
2_19_18,106_8_11
2_19_19,105_8_17
2_19_20,104_18_20
2_20_1,101_15_8
2_20_2,105_2_12
2_20_3,110_14_9
2_20_4,106_20_1
2_20_5,103_12_4
2_20_6,103_14_5
2_20_7,102_12_1
2_20_8,103_5_17
2_20_9,108_12_12
2_20_10,102_12_13
2_20_11,108_19_7
2_20_12,109_7_1
2_20_13,106_2_19
2_20_14,101_12_18
2_20_15,109_16_19
2_20_16,109_7_19
2_20_17,106_18_5
2_20_18,106_18_2
2_20_19,103_20_9
2_20_20,106_5_9
3_1_1,109_20_3
3_1_2,102_5_4
3_1_3,107_6_19
3_1_4,101_18_19
3_1_5,108_15_11
3_1_6,110_20_6
3_1_7,108_10_10
3_1_8,103_11_5
3_1_9,110_20_3
3_1_10,110_20_4
3_1_11,102_9_16
3_1_12,109_10_10
3_1_13,109_12_12
3_1_14,110_5_13
3_1_15,104_11_13
3_1_16,106_9_6
3_1_17,102_17_14
3_1_18,105_2_16
3_1_19,101_18_13
3_1_20,104_18_4
3_2_1,107_10_7
3_2_2,103_12_2
3_2_3,109_7_5
3_2_4,106_8_6
3_2_5,102_3_9
3_2_6,102_11_18
3_2_7,107_16_18
3_2_8,106_7_12
3_2_9,105_10_6
3_2_10,109_10_11
3_2_11,109_12_7
3_2_12,109_3_4
3_2_13,106_12_13
3_2_14,110_7_9
3_2_15,105_17_16
3_2_16,104_1_13
3_2_17,106_15_10
3_2_18,109_9_13
3_2_19,107_15_16
3_2_20,110_5_14
3_3_1,109_8_3
3_3_2,102_5_9
3_3_3,108_19_1
3_3_4,105_18_9
3_3_5,110_20_16
3_3_6,109_4_17
3_3_7,103_9_8
3_3_8,101_10_18
3_3_9,101_11_17
3_3_10,102_19_8
3_3_11,101_9_2
3_3_12,104_13_13
3_3_13,106_14_13
3_3_14,103_5_11
3_3_15,110_4_6
3_3_16,102_20_5
3_3_17,109_8_4
3_3_18,105_18_7
3_3_19,105_1_19
3_3_20,102_6_20
3_4_1,109_4_11
3_4_2,106_17_11
3_4_3,103_18_6
3_4_4,106_19_19
3_4_5,108_14_14
3_4_6,103_1_10
3_4_7,104_18_7
3_4_8,103_11_5
3_4_9,103_12_2
3_4_10,105_7_18
3_4_11,103_16_1
3_4_12,109_8_19
3_4_13,108_18_13
3_4_14,102_4_14
3_4_15,109_3_19
3_4_16,109_19_6
3_4_17,105_9_6
3_4_18,106_6_11
3_4_19,107_3_5
3_4_20,104_4_20
3_5_1,102_5_3
3_5_2,107_14_17
3_5_3,107_10_6
3_5_4,110_15_17
3_5_5,103_6_6
3_5_6,110_20_9
3_5_7,105_9_8
3_5_8,108_5_17
3_5_9,102_14_10
3_5_10,108_9_12
3_5_11,102_2_9
3_5_12,106_12_9
3_5_13,109_7_19
3_5_14,108_1_11
3_5_15,101_20_3
3_5_16,103_5_11
3_5_17,108_16_2
3_5_18,104_6_15
3_5_19,107_10_17
3_5_20,109_10_17
3_6_1,101_17_16
3_6_2,104_1_3
3_6_3,110_16_13
3_6_4,107_6_10
3_6_5,104_2_8
3_6_6,107_15_2
3_6_7,101_6_6
3_6_8,103_10_3
3_6_9,108_7_1
3_6_10,101_13_2
3_6_11,105_9_14
3_6_12,103_3_14
3_6_13,107_6_10
3_6_14,110_6_15
3_6_15,110_16_19
3_6_16,110_4_4
3_6_17,101_6_2
3_6_18,103_10_9
3_6_19,102_4_2
3_6_20,101_2_20
3_7_1,108_2_2
3_7_2,104_1_17
3_7_3,103_20_5
3_7_4,106_8_6
3_7_5,105_15_4
3_7_6,106_1_5
3_7_7,101_8_7
3_7_8,104_2_7
3_7_9,101_3_17
3_7_10,105_14_8
3_7_11,107_1_19
3_7_12,110_3_17
3_7_13,101_19_13
3_7_14,102_3_16
3_7_15,102_20_6
3_7_16,106_7_4
3_7_17,106_13_17
3_7_18,106_12_9
3_7_19,105_10_6
3_7_20,103_15_4
3_8_1,108_3_7
3_8_2,108_13_15
3_8_3,110_19_16
3_8_4,106_13_5
3_8_5,110_18_3
3_8_6,103_9_14
3_8_7,107_15_12
3_8_8,102_8_11
3_8_9,104_11_6
3_8_10,101_12_2
3_8_11,103_18_17
3_8_12,102_19_15
3_8_13,108_10_17
3_8_14,105_2_11
3_8_15,106_16_19
3_8_16,109_8_7
3_8_17,109_8_7
3_8_18,109_8_8
3_8_19,109_9_1
3_8_20,108_17_20
3_9_1,109_12_18
3_9_2,109_15_4
3_9_3,108_11_8
3_9_4,110_11_5
3_9_5,106_13_11
3_9_6,108_5_1
3_9_7,104_19_8
3_9_8,103_9_8
3_9_9,101_13_5
3_9_10,108_16_9
3_9_11,101_19_13
3_9_12,102_12_14
3_9_13,107_11_11
3_9_14,108_2_14
3_9_15,101_9_19
3_9_16,102_7_9
3_9_17,106_16_19
3_9_18,103_16_6
3_9_19,107_18_6
3_9_20,107_6_20
3_10_1,104_17_10
3_10_2,110_5_3
3_10_3,103_19_12
3_10_4,103_8_9
